Datetime,Aberdeen,AstonHill,AuchencorthMoss,BarnsleyGawber,BelfastCentre,BirminghamA4540Roadside,BirminghamAcocksGreen,BirminghamLadywood,BlackpoolMarton,Bournemouth,BrightonPrestonPark,BristolStPaul_s,BushEstate,Canterbury,CardiffCentre,CharltonMackrell,ChilboltonObservatory,CoventryAllesley,Cwmbran,DerryRosemount,EdinburghStLeonards,Eskdalemuir,ExeterRoadside,FortWilliam,GlasgowTownhead,Glazebury,HighMuffles,HullFreetown,Ladybower,LeamingtonSpa,LeedsCentre,LeicesterUniversity,Leominster,Lerwick,LiverpoolSpeke,LondonBloomsbury,LondonEltham,LondonHaringeyPrioryParkSouth,LondonHarlington,LondonHillingdon,LondonMaryleboneRoad,LondonN_Kensington,LoughNavar,LullingtonHeath,MaceHead,ManchesterPiccadilly,ManchesterSharston,MarketHarborough,Middlesbrough,Narberth,NewcastleCentre,NorthamptonKingsthorpe,NorthamptonSpringPark,NorwichLakenfields,NottinghamCentre,Peebles,PlymouthCentre,PortTalbotMargam,Portsmouth,Preston,ReadingNewTown,RochesterStoke,SheffieldDevonshireGreen,Sibton,SouthamptonCentre,Southend_on_Sea,StOsyth,Stoke_on_TrentCentre,Strathvaich,SunderlandSilksworth,Thurrock,WalsallWoodlands,Weybourne,WickenFen,WiganCentre,WirralTranmere,YarnerWood,CwmbranCrownbridge,Average
2021-01-01 00:00:00,59.37208,59.27229,52.34721,33.77722,39.11572,7.23441,6.93506,10.12818,12.12388,NaN,28.78797,NaN,62.11616,39.11572,1.74624,10.75268,15.26711,2.19527,NaN,52.63659,52.28734,53.28519,12.01324,33.37808,41.85981,26.77458,30.48432,11.92431,35.12432,3.74194,26.99184,1.3471,18.41033,65.2095,NaN,27.79012,NaN,27.74023,32.43012,28.08948,27.9398,28.53851,54.13336,27.04174,60.58945,6.38624,26.29335,NaN,12.07399,60.80897,23.99829,NaN,1.89592,17.26281,4.54022,33.82712,28.80697,28.98754,NaN,1.64645,18.6099,47.22774,6.13678,33.67744,9.37979,38.41723,36.77077,3.39269,62.46541,11.9742,34.02669,27.69034,14.71829,9.58989,7.18452,4.73979,44.50411,6.18667,26.9038374285714
2021-01-01 01:00:00,57.14354,56.7444,42.37536,33.66081,43.70583,12.24029,6.25319,14.56861,11.04287,2.48598,29.13722,5.32187,59.73795,40.71228,1.66308,6.78538,11.44201,3.45921,NaN,50.09207,52.08777,65.92462,12.27356,26.8089,52.15429,24.28102,29.73593,12.10725,26.40976,7.31757,27.075,3.92488,20.22309,56.54483,NaN,30.53421,26.34324,23.48274,31.73163,27.60718,27.54066,29.73593,55.94612,27.87328,60.86885,5.85405,21.35399,NaN,7.51714,62.19932,37.18654,NaN,2.6443,17.16302,7.118,28.07285,31.86468,24.54711,NaN,1.86265,20.22309,43.70583,5.65448,30.66726,15.49994,36.32174,38.65006,21.22094,61.60061,22.01922,27.075,27.14152,17.62868,6.65233,10.71026,6.25319,44.96977,8.51499,26.5616002739726
2021-01-01 02:00:00,55.8796,54.7487,42.95744,26.8089,46.16719,24.8132,30.86683,27.67371,10.44416,1.41096,31.33249,3.9914,61.26799,42.05938,5.88732,3.84172,12.97205,13.70381,NaN,48.99444,54.48261,66.58986,28.6383,21.35399,52.55343,17.42911,29.03744,22.01922,23.74883,5.08904,15.03427,6.51929,21.45378,56.61136,NaN,35.9226,22.95055,27.14152,20.95485,21.42051,20.90496,16.09865,57.34311,30.00202,60.86885,1.1309,16.89693,NaN,-1.44688,59.80448,40.57923,NaN,20.90496,15.36689,4.98925,27.39098,28.53851,30.26812,NaN,1.72961,16.63083,43.40648,3.92488,27.9398,18.16087,35.65651,37.38611,32.19729,54.88175,34.82497,25.61148,27.39098,23.54926,2.74409,14.10295,18.49349,41.31099,30.06855,27.5948452054795
2021-01-01 03:00:00,53.53465,54.33293,41.2611,22.6013,48.64519,21.25421,25.54496,24.6469,20.10668,0.80626,36.37163,2.24516,60.86885,41.66024,10.42753,4.83957,13.67055,25.59485,NaN,46.79917,36.12217,65.60864,35.17421,19.90711,44.25465,16.16517,32.77937,17.81162,25.69464,4.54022,20.30625,5.08904,24.49722,58.72347,NaN,39.86411,29.53636,33.12862,20.75528,19.05894,30.03529,32.82927,43.05723,36.92045,62.06627,0.74839,13.82022,NaN,27.54066,55.68003,44.70368,NaN,28.43873,13.82022,4.29076,25.24561,40.51271,34.07658,NaN,1.89592,18.75958,35.72303,17.36259,26.69249,19.90711,32.48002,32.82927,26.44303,52.63659,44.40433,31.13292,27.2912,26.14367,6.03699,13.57076,24.09808,47.19831,6.6357,28.6199521917808
2021-01-01 04:00:00,53.78412,51.04003,43.10712,22.20216,47.8968,22.95055,22.50152,23.44948,17.81162,0.95744,40.06368,1.39699,61.31788,45.40218,19.20861,7.53377,15.11743,24.44733,NaN,50.09207,43.85551,64.21165,26.39313,25.54496,49.84261,16.31485,41.2611,21.70324,30.43443,4.6899,31.78152,4.24086,28.43873,59.37208,NaN,23.54926,34.32604,25.34539,26.44303,25.49507,25.04604,30.18496,39.71443,38.6168,62.86455,1.39699,12.17377,NaN,41.71013,59.47186,48.29594,NaN,26.74238,12.32345,3.79183,27.88991,40.26325,27.2912,NaN,1.49678,19.10883,34.97464,26.6426,23.2998,22.85077,30.43443,25.19571,20.55571,52.68648,44.95314,32.48002,28.13937,24.24776,7.53377,11.07614,25.79442,52.5368,11.27571,29.405267260274
2021-01-01 05:00:00,50.84046,42.65809,42.85766,26.89206,46.79917,20.70539,22.85077,21.50367,26.24346,0.75587,45.2525,1.04774,59.47186,42.50841,16.26496,10.22796,12.97205,22.45163,NaN,49.64304,36.72088,63.66283,19.10883,23.99829,48.34583,19.45808,55.43057,21.00474,35.17421,7.03484,39.71443,5.68775,34.52561,58.82326,NaN,11.07614,32.86253,24.89636,28.23916,26.29335,17.62868,23.00044,34.72518,40.46282,62.06627,1.84602,10.22796,NaN,47.14841,59.17251,48.5953,NaN,24.04819,12.47313,5.83742,24.94625,34.02669,35.82282,NaN,1.3471,18.31055,35.72303,32.6297,19.35829,23.15012,33.07873,25.04604,18.16087,56.27874,46.49981,35.32389,22.55141,21.80302,8.38194,11.57506,23.00044,42.40863,5.13893,28.9835456164384
2021-01-01 06:00:00,48.5454,41.01164,42.45852,31.83142,40.81206,14.41893,17.71184,16.56431,40.41293,0.55431,44.80347,0.6985,58.17466,38.71658,13.9699,10.17807,9.42968,20.30625,NaN,50.69078,35.47357,63.71272,18.6099,25.64475,48.99444,19.20861,57.52605,27.04174,39.66454,10.677,47.54755,3.9914,36.67099,57.8753,NaN,15.16732,NaN,26.24346,29.53636,26.19356,16.46452,27.74023,42.6082,39.31529,62.06627,1.04774,6.83527,NaN,41.71013,57.8753,48.99444,NaN,24.14797,12.97205,5.23871,29.73593,27.2912,31.33249,NaN,1.44688,14.46883,39.31529,38.36733,17.66195,14.6185,32.92905,28.08948,14.16947,56.72777,46.40003,36.5712,21.3041,20.6056,8.78108,8.98065,32.13077,37.61894,7.43398,28.9453493055556
2021-01-01 07:00:00,51.13981,37.21981,41.21121,36.97034,31.68174,13.87012,13.37119,14.6185,47.04863,0.70548,47.09852,0.44903,56.77767,41.11142,20.10668,9.72904,7.93291,18.36044,NaN,50.89035,37.07013,65.15961,6.28646,17.06323,34.37593,15.11743,56.82756,32.33034,44.85336,9.13033,48.14626,2.24516,33.07873,60.32003,NaN,13.12173,19.60775,25.24561,27.64045,28.88776,17.56216,26.04389,31.88131,40.81206,62.46541,0.6486,4.44043,NaN,30.73378,55.13121,46.30024,NaN,19.50797,13.67055,17.21291,21.25421,31.88131,26.24346,NaN,8.23226,9.82882,42.65809,41.95959,19.70754,15.01764,34.42583,29.2869,11.77463,58.72347,41.66024,21.3041,21.65335,18.36044,14.06969,7.28431,43.50626,35.77292,3.74194,27.9665516438356
2021-01-01 08:00:00,51.08992,37.12002,39.01594,37.02024,39.31529,11.92431,12.6727,15.36689,40.21336,1.159,47.64734,0.54882,52.73637,38.31744,18.75958,9.08044,5.18882,14.96775,NaN,49.64304,21.85292,61.8667,18.6099,11.82452,32.87916,17.91141,55.03143,40.6125,49.34368,7.43398,47.84691,0.74839,33.72733,58.47401,NaN,10.12818,NaN,21.90281,31.88131,30.73378,14.31915,26.04389,23.49937,43.10712,62.66498,0.79828,4.88946,NaN,42.10927,49.79272,44.00519,NaN,16.41463,12.22366,24.14797,17.61205,18.41033,20.80517,NaN,7.38409,7.68345,33.22841,45.35228,21.50367,14.36904,31.58195,31.78152,10.27786,62.26584,39.86411,19.00904,18.01119,16.41463,15.41678,6.23656,48.39573,36.12217,2.49463,27.2615608333333
2021-01-01 09:00:00,50.19186,39.46497,36.92045,37.96819,44.10497,8.88087,10.02839,11.92431,37.31959,2.06605,42.20906,0,50.5411,36.32174,12.17377,9.92861,6.08689,15.91571,NaN,49.14411,23.34969,59.67143,6.43613,18.95915,29.18711,23.84862,54.88175,41.2611,48.19616,6.83527,48.34583,1.49678,23.39958,59.37208,NaN,12.42323,18.89263,24.597,29.83572,27.24131,14.86797,25.04604,37.66884,46.05078,62.86455,1.29721,4.64,NaN,40.86196,44.25465,44.50411,NaN,15.11743,12.37334,34.47572,14.96775,7.73334,11.47528,NaN,7.03484,6.6357,24.09808,45.70153,18.51012,6.83527,24.84647,28.48862,9.03054,64.76047,40.01379,18.11098,15.41678,17.11313,17.26281,21.05464,47.19831,36.92045,3.29291,26.4376112328767
2021-01-01 10:00:00,50.591,45.50196,38.21766,38.91615,46.64949,10.677,10.42753,12.97205,43.65594,3.72897,36.5712,-0.24946,53.03573,32.52991,10.677,12.17377,10.47743,15.46668,NaN,48.09637,23.44948,57.72562,5.43828,21.80302,26.74238,34.67529,53.38498,43.20691,48.99444,6.93506,45.9011,2.19527,21.50367,59.42197,NaN,14.91786,17.49564,24.09808,30.634,27.64045,13.1051,25.09593,32.6297,48.09637,62.66498,2.59441,8.33205,NaN,38.6168,40.86196,42.70798,NaN,16.76388,13.67055,40.01379,12.22366,15.46668,19.70754,NaN,18.95915,7.43398,24.14797,44.25465,16.36474,8.48173,23.44948,26.34324,14.46883,65.00993,35.22411,16.51442,18.80947,17.26281,16.31485,13.37119,47.39788,37.71873,6.6357,27.0821112328767
2021-01-01 11:00:00,52.78627,46.94884,39.914,35.9226,41.85981,13.82022,14.41893,16.76388,44.35443,9.47359,40.16346,0.04989,53.2353,28.03959,12.87227,11.27571,11.22581,13.92001,NaN,48.64519,23.99829,57.8753,8.6314,12.27356,27.69034,41.36088,51.48906,46.30024,46.15056,7.9828,46.20046,19.85722,21.85292,58.32433,NaN,12.82237,19.89048,22.35184,26.09378,21.80302,14.03642,26.39313,28.33894,46.94884,64.66068,2.29506,17.51227,NaN,37.66884,35.87271,42.6082,NaN,24.14797,13.82022,41.11142,14.41893,18.80947,26.89206,NaN,34.47572,8.23226,22.6013,42.65809,16.96345,10.72689,22.25206,27.59055,21.00474,63.51315,34.5755,15.01764,22.6512,21.3041,13.07184,11.62495,37.81852,44.75357,13.47098,28.0613742465753
2021-01-01 12:00:00,54.28304,50.5411,40.46282,32.6297,37.86841,15.9656,19.60775,19.65764,44.30454,12.64825,36.17206,-0.24946,55.231,32.67959,10.87657,11.47528,11.77463,20.05679,NaN,49.54325,24.49722,60.5196,7.93291,11.9742,22.75098,43.05723,51.93809,44.70368,44.15486,11.92431,43.20691,27.69034,32.08088,58.87315,NaN,12.47313,NaN,16.76388,20.70539,15.61635,8.44846,21.00474,26.69249,42.6082,66.85595,6.78538,29.23701,NaN,36.97034,35.9226,42.30884,NaN,37.46927,15.21721,41.21121,19.60775,22.15227,29.63615,NaN,34.22626,11.02624,22.05249,40.26325,18.11098,17.76173,20.35614,25.99399,25.14582,65.80821,37.02024,17.61205,27.88991,27.44088,13.52087,24.94625,45.70153,47.84691,23.10023,29.64366
2021-01-01 13:00:00,54.5824,51.48906,41.76002,29.43658,35.9226,19.50797,20.90496,24.99614,45.30239,14.15999,33.97679,1.09763,56.12906,37.07013,9.57936,12.6228,11.9742,23.84862,NaN,49.79272,34.87486,61.96649,16.46452,11.92431,27.84002,42.30884,54.88175,42.75787,41.95959,13.3213,42.40863,24.84647,52.73637,62.96434,NaN,6.6357,16.6641,13.57076,15.41678,12.47313,6.65233,14.26926,44.20476,38.66669,66.05767,20.20646,32.38023,NaN,42.5583,35.42368,43.95529,NaN,34.07658,13.27141,38.86626,28.03959,22.20216,31.78152,NaN,29.53636,13.02194,19.55786,40.11357,18.56001,20.55571,16.36474,22.80087,29.78582,67.65423,36.22196,11.27571,34.17636,36.97034,18.01119,31.98109,45.20261,48.64519,27.44088,30.8309298630137
2021-01-01 14:00:00,55.48046,48.24605,38.96604,30.93335,36.87056,23.9484,26.04389,29.88561,46.25035,17.53622,34.52561,6.33635,54.43272,24.84647,24.29765,11.77463,11.42538,29.88561,NaN,51.2396,43.80562,63.46326,22.50152,9.77893,31.23271,41.2611,55.53035,39.06583,40.6125,22.15227,41.06153,9.77893,50.34153,66.40692,NaN,6.13678,12.97205,8.88087,11.72474,8.18237,3.06007,9.03054,57.02713,38.26755,66.65638,23.69894,33.22841,NaN,42.75787,38.26755,42.90755,NaN,31.43228,14.81807,36.37163,30.98324,29.2869,42.25895,NaN,27.09163,8.93076,16.41463,37.31959,18.6598,17.41248,12.77248,20.00689,35.17421,67.50455,38.26755,8.73119,37.07013,36.77077,22.55141,30.53421,44.80347,46.79917,30.23486,31.3002410958904
2021-01-01 15:00:00,52.73637,48.74497,37.86841,32.33034,39.51486,23.10023,27.2912,30.13507,46.40003,16.72995,31.48217,9.28,52.5867,22.10238,24.19786,10.37764,9.18022,32.03099,NaN,52.33723,36.32174,64.31143,17.71184,11.02624,38.51701,42.40863,54.88175,39.56475,41.9097,25.89421,37.96819,16.11528,52.5368,65.40907,NaN,3.84172,7.3342,6.03699,9.57936,8.48173,1.46351,8.18237,58.82326,34.22626,66.45681,24.14797,31.63185,NaN,41.95959,51.73852,41.9097,NaN,26.24346,17.21291,36.02239,29.78582,24.69679,44.40433,NaN,23.79872,9.13033,13.42108,36.5712,21.10453,13.67055,11.92431,23.34969,34.17636,68.20305,37.51916,5.63785,38.06798,36.37163,28.13937,29.03744,46.44992,41.46067,39.56475,31.1613889041096
2021-01-01 16:00:00,52.43702,47.14841,39.56475,32.43012,34.02669,19.35829,25.2955,26.19356,41.85981,14.21038,24.39743,7.28431,55.33078,18.11098,26.34324,8.43183,7.118,32.5798,NaN,52.93594,37.21981,62.46541,11.87442,5.3385,28.08948,41.46067,55.33078,40.71228,42.75787,27.39098,38.31744,20.10668,49.69293,65.65853,NaN,3.09334,4.49033,5.28861,7.58366,7.03484,0.73176,4.64,52.13766,29.43658,62.66498,16.6641,26.14367,NaN,41.21121,53.68433,41.80991,NaN,24.29765,17.21291,35.87271,27.98969,17.36259,41.85981,NaN,13.37119,7.88302,5.48818,34.07658,23.64905,7.48388,9.92861,31.78152,30.83357,68.05337,36.67099,1.74624,36.47142,37.41938,29.33679,29.58625,44.80347,35.47357,41.01164,29.2842695890411
2021-01-01 17:00:00,51.58885,47.2482,38.86626,31.03314,31.18281,18.36044,20.05679,22.55141,35.32389,11.64042,19.25851,16.56431,57.92519,9.42968,23.05034,6.13678,9.18022,30.13507,NaN,52.43702,23.64905,60.46971,14.26926,2.59441,17.81162,38.21766,52.5368,42.25895,43.20691,28.18926,37.56905,25.69464,48.19616,64.21165,NaN,2.6942,1.1309,8.33205,5.28861,3.44258,0.39914,4.98925,24.79657,24.79657,64.66068,11.67485,18.11098,NaN,39.31529,51.68863,37.9183,NaN,22.55141,20.50582,37.02024,22.45163,15.86582,36.37163,NaN,6.38624,6.58581,5.13893,35.67314,24.44733,6.13678,11.52517,32.67959,26.74238,66.40692,35.42368,0.24946,34.37593,41.9097,28.93765,21.10453,41.31099,33.07873,37.07013,27.1237356164384
2021-01-01 18:00:00,52.43702,46.40003,42.20906,34.02669,37.56905,16.31485,17.01334,22.25206,33.82712,8.26419,15.81592,17.06323,59.12261,6.83527,19.05894,15.81592,9.52947,27.54066,NaN,51.13981,18.21076,58.17466,12.52302,1.79613,7.13463,34.02669,53.2353,42.90755,43.85551,28.6383,38.76647,29.2869,49.04433,65.35917,NaN,3.19312,0.79828,4.14108,4.44043,3.94151,0.49893,3.54237,24.39743,23.24991,64.66068,14.01979,21.3041,NaN,39.914,51.43917,38.51701,NaN,29.83572,17.36259,36.27185,14.36904,7.9828,23.00044,NaN,6.78538,3.89162,2.39484,40.16346,26.44303,4.83957,6.13678,27.19141,21.00474,68.35273,34.82497,0.44903,32.48002,45.95099,31.63185,11.47528,39.86411,35.97249,34.52561,26.2527783561644
2021-01-01 19:00:00,52.5368,47.74712,38.6168,33.2783,39.21551,15.86582,17.3127,21.20431,33.9269,12.74903,12.42323,16.81377,55.13121,5.48818,21.40388,37.56905,14.31915,26.34324,NaN,47.84691,14.01979,59.97079,13.22151,2.89377,2.59441,29.78582,54.33293,45.2525,44.25465,31.68174,39.96389,24.6469,49.64304,66.10756,NaN,4.34065,0.89807,6.28646,5.13893,5.58796,0.33262,4.73979,23.15012,18.70969,68.05337,6.38624,15.51657,NaN,36.87056,51.63874,35.67314,NaN,37.41938,11.22581,37.2697,13.82022,5.93721,13.9699,NaN,5.03914,7.28431,1.9957,36.87056,29.83572,5.48818,2.99355,26.79227,19.55786,66.35702,32.38023,0.54882,29.18711,44.95314,31.2826,11.27571,35.17421,37.46927,31.83142,25.8553857534247
