Datetime,Aberdeen,AuchencorthMoss,BarnstapleA39,BelfastCentre,BirminghamA4540Roadside,BirminghamAcocksGreen,BirminghamLadywood,BirminghamTyburn,BlackpoolMarton,Bournemouth,BristolStPaul_s,CamdenKerbside,CardiffCentre,CarlisleRoadside,ChathamRoadside,ChepstowA48,ChesterfieldLoundsleyGreen,ChesterfieldRoadside,ChilboltonObservatory,ChristchurchBarrackRoad,CoventryAllesley,DerryRosemount,Eastbourne,EdinburghStLeonards,GlasgowHighStreet,GlasgowTownhead,Grangemouth,GreenockA8Roadside,HullFreetown,Inverness,LeamingtonSpa,LeamingtonSpaRugbyRoad,LeedsCentre,LeedsHeadingleyKerbside,LeicesterUniversity,LiverpoolSpeke,LondonBexley,LondonBloomsbury,LondonEltham,LondonHarlington,LondonHarrowStanmore,LondonHonorOakPark,LondonMaryleboneRoad,LondonN_Kensington,LondonTeddingtonBushyPark,LondonWestminster,LoughNavar,ManchesterPiccadilly,Middlesbrough,Narberth,NewcastleCentre,Newport,NorthamptonSpringPark,NorwichLakenfields,NottinghamCentre,OxfordStEbbes,PlymouthCentre,PortTalbotMargam,Portsmouth,Preston,ReadingNewTown,RochesterStoke,SalfordEccles,SaltashCallingtonRoad,SandyRoadside,SheffieldBarnsleyRoad,SheffieldDevonshireGreen,SouthamptonCentre,Southend_on_Sea,Stanford_le_HopeRoadside,Stockton_on_TeesA1305Roadside,Stockton_on_TeesEaglescliffe,Stoke_on_TrentCentre,StorringtonRoadside,SunderlandSilksworth,SwanseaRoadside,Warrington,WiganCentre,WirralTranmere,WorthingA27Roadside,Wrexham,YorkBootham,YorkFishergate,BrightonPrestonPark,Average
2020-01-01 01:00:00,35.873,6.109,30,36.415,25.071,67.312,27.264,NaN,24.104,23,40,36.3,NaN,32,48,31,30.047,26.014,30.495,18,20.094,17,41.958,7.476,16.156,16.462,29,14.432,55.236,NaN,20.637,20.495,27.9,25.1,12.5,22,38,35.6,36.3,55.137,NaN,58.562,58.1,35.189,NaN,42,7.83,NaN,17,17.83,8.2,33.255,41,12.83,23.538,31.958,28.5,21.1,21.627,38.349,51.7,35.401,16.226,31,NaN,56,33.019,28.844,35.802,32,16,14,27.028,NaN,12.335,25,31,25.354,21.179,41,33.797,18.4,13,NaN,28.9792
2020-01-01 02:00:00,5.825,6.156,30,31.604,22.335,20.33,25.024,NaN,22.877,16,27,39.5,NaN,29,45,35,27.547,27.382,23.137,16,19.481,21,39.128,5.943,22.052,22.123,24,17.724,67.264,NaN,19.245,20.33,32.4,27.5,10.4,17,48.1,42.5,61.7,70.347,NaN,46.745,43.2,36.25,45.495,48,7.264,23.514,8.5,19.835,7.7,31.344,19,14.434,19.811,32.783,26.7,25,27.099,20.401,39.7,38.703,20.826,28,NaN,32,26.321,26.368,32.925,34,8,10,23.326,NaN,10.896,21,15,16.061,15.92,40,17.335,14,13,NaN,26.291038961039
2020-01-01 03:00:00,3.679,8.726,34,15.826,20.967,20.59,22.995,NaN,27.594,5,22,57.8,NaN,30,36,30,30.071,30.283,19.953,12,19.151,11,41.156,7.925,17.925,19.057,19,17.901,25.778,NaN,21.51,22.712,30.1,27.9,13.4,18,46.9,42.3,45.6,45.738,NaN,45.896,43,39.623,46.321,52,6.509,12.618,10.3,20.637,14,30.519,27,18.986,19.057,35.661,28.8,25.9,27.854,14.693,34.7,39.481,15.212,17,NaN,34,26.179,27.359,32.642,32,7,11,20.566,NaN,9.717,17,18,16.274,16.722,37,17.453,13.2,13,NaN,24.6157922077922
2020-01-01 04:00:00,3.066,9.693,35,13.443,22.052,20.967,24.811,NaN,24.481,8,18,46.2,NaN,14,26,30,31.085,32.618,19.528,8,21.533,8,37.901,8.184,14.033,17.123,20,18.262,10.047,NaN,24.882,26.462,30.8,30.5,19.5,14,46.1,45.6,42.9,45.024,NaN,39.552,42.8,41.179,42.382,48,6.981,12.854,18,22.5,17,30.708,32,26.109,19.953,35.472,25.8,19.8,26.486,14.34,37.7,42.736,12.429,18,NaN,28,23.962,21.297,33.679,36,14,20,18.396,NaN,8.656,17,25,15.826,18.915,36,18.915,16.9,11,NaN,24.2093766233766
2020-01-01 05:00:00,3.986,10.542,26,13.774,23.16,24.363,25.873,NaN,21.439,12,19,39,NaN,14,18,32,20.26,17.877,21.462,13,24.764,7,36.344,8.349,13.326,16.557,17,15.995,11.769,NaN,29.198,30.637,34.4,29.8,24.2,25,39.6,40.4,39.9,41.227,NaN,39.293,36.8,40.118,38.585,43,8.042,14.34,13.9,22.241,22.4,31.816,33,24.693,22.028,35.354,21.9,20.2,24.269,15.708,42.7,37.028,12.901,24,NaN,27,19.835,22.217,33.113,31,11,20,20.236,NaN,8.443,17,18,16.014,19.906,35,18.278,13.8,9,NaN,23.4462337662338
2020-01-01 06:00:00,2.712,9.623,31,14.269,28.184,28.774,28.184,NaN,19.127,15,21,38.7,NaN,11,28,25,14.552,14.34,22.241,18,31.25,6,36.934,9.269,12.594,16.25,19,14.293,13.632,NaN,32.783,33.797,31.2,28.5,27.4,20,34.3,39.6,38.2,40.573,NaN,39.34,39.2,39.387,38.326,41,9.363,15.991,17.4,25.118,21,31.58,36,27.571,22.429,34.411,17.6,15.9,19.741,16.344,42.7,36.368,14.623,22,NaN,14,18.538,24.528,32.925,27,7,18,20.826,NaN,8.632,21,20,16.698,19.528,32,18.16,17.5,19,NaN,23.5585454545455
2020-01-01 07:00:00,2.995,8.113,34,17.995,32.712,31.887,33.585,NaN,19.245,13,21,36.5,NaN,18,32,29,16.109,15.826,20.778,18,35.566,12,34.953,10.071,12.5,15.566,15,10.13,16.863,NaN,31.981,33.561,29.7,22.1,28.4,23,28.4,39.5,34.6,40.618,NaN,38.538,38.7,39.293,36.793,39,7.005,17.005,16.6,25.142,19.7,30.967,39,27.83,27.5,34.34,17.4,17.5,17.901,18.184,39.7,31.557,16.368,23,NaN,18,17.736,28.396,33.278,26,6,17,20.59,NaN,9.151,21,27,17.854,20.472,44,20.401,16.4,16,NaN,24.0721428571429
2020-01-01 08:00:00,2.972,8.75,33,22.028,33.939,32.524,35.26,NaN,20.377,21,21,36.9,NaN,24,33,30,15.778,16.156,21.58,25,34.576,11,34.34,9.104,12.123,13.326,16,8.508,21.816,NaN,33.514,34.01,25.2,20.4,28.8,21,28.2,35,24.4,40.352,NaN,37.5,39.3,37.995,36.321,39,6.958,20.142,16.4,25.519,16.4,25.165,42,30.401,30.637,35.189,17.2,18.7,33.467,20.755,39.7,26.014,19.033,21,NaN,13,18.679,29.481,32.736,25,9,16,21.038,NaN,11.863,19,25,20.307,20.425,32,20.377,20.4,21,NaN,24.3511038961039
2020-01-01 09:00:00,3.255,9.693,35,22.052,30.377,27.877,30.731,NaN,22.429,28,11,35.4,NaN,19,30,26,14.859,15.377,29.505,22,35.307,10,31.156,8.538,9.458,10.189,14,10.714,26.156,NaN,32.712,32.736,23.4,19.5,34.1,22,26.5,39.3,26.7,38.778,NaN,32.83,37.3,37.194,34.458,42,6.274,20.448,19.1,24.222,18.4,24.859,40,33.797,33.632,36.179,17.7,20.8,40.071,21.297,32.7,27.736,20.943,15,NaN,18,19.953,34.269,35.378,27,6,19,22.193,NaN,14.788,20,29,23.373,22.359,32,26.958,24.4,26,NaN,24.6936363636364
2020-01-01 10:00:00,3.609,9.292,30,23.373,27.453,24.859,28.892,NaN,25.967,27,16,33.2,NaN,22,33,25,16.816,19.434,32.288,29,27.807,9,27.854,8.326,10.59,12.005,12,12.793,22.524,NaN,31.274,32.594,22.7,19.3,34.9,27,26.1,37.1,29.6,42.653,NaN,28.821,34.3,33.821,36.604,41,6.226,21.486,16.5,23.396,11.4,24.458,42,37.335,35.189,36.344,19.4,22.2,40.637,22.382,36.7,31.25,21.203,20,NaN,21,20.731,35.401,31.132,27,8,14,23.491,NaN,17.547,18,30,25.377,24.458,33,25.944,23.6,14,NaN,24.7874805194805
2020-01-01 11:00:00,4.929,9.599,30,23.844,26.156,23.868,26.392,NaN,25.92,24,15,31.9,NaN,21,33,19,25.967,25.967,26.604,NaN,27.335,6,26.227,7.925,12.524,13.821,11,13.476,23.774,NaN,31.769,33.538,23,20.3,35.7,29,30.8,35.9,32.5,41.528,NaN,30.142,30.8,33.255,36.863,36,5.613,21.84,19.8,23.326,14.1,19.623,33,37.925,37.807,37.406,22.5,21,41.368,23.986,38.7,35.33,22.783,22,NaN,24,23.656,30.425,32.925,24,9,15,20.637,NaN,17.877,20,36,27.005,24.599,35,26.392,21,19,NaN,25.012447368421
2020-01-01 12:00:00,6.439,10.071,21,23.349,21.84,25.613,22.028,NaN,27.453,24,18,34.2,NaN,13,34,20,30.59,30.236,23.231,27,31.321,11,24.293,7.476,13.797,15.189,14,14.91,27.783,NaN,31.368,32.382,28.9,20.9,37.1,28,29.9,38.1,31.8,38.986,NaN,32.83,35.3,35.142,36.156,37,5.495,27.005,21.9,24.293,16.8,16.698,35,37.264,39.057,35.401,14.2,20.1,36.344,26.557,28.7,39.316,28.42,14,NaN,26,27.807,29.434,34.01,30,8,16,27.406,NaN,16.84,19,32,30.778,24.363,33,25.873,22.4,19,NaN,25.3784935064935
