Datetime,BallymenaBallykeel,BarnsleyGawber,BelfastCentre,CardiffCentre,ChilboltonObservatory,DerryRosemount,EdinburghStLeonards,Grangemouth,HullFreetown,Ladybower,LeedsCentre,LiverpoolSpeke,LondonBloomsbury,LondonMaryleboneRoad,LondonN_Kensington,LullingtonHeath,ManchesterPiccadilly,Middlesbrough,Narberth,NottinghamCentre,PortTalbotMargam,RochesterStoke,ScunthorpeTown,SouthamptonCentre,Thurrock,WickenFen,Wrexham,BirminghamLadywood,Average
2019-01-01 00:00:00,1.22401,0.91363,1.25088,NaN,0.39955,0.89834,1.71772,NaN,1.61592,2.79064,1.52913,NaN,1.82759,1.25096,1.37149,0.67454,2.64581,3.33906,0.31561,2.43375,0.51073,1.10827,0.70248,1.62714,0.39586,0.39155,NaN,NaN,1.3449852173913
2019-01-01 01:00:00,1.41221,0.69853,2.50348,0.97588,0.53249,2.11963,5.04052,NaN,2.75735,2.06558,1.4825,NaN,0.90306,1.89695,1.62547,0.80874,3.85429,5.67279,1.09421,3.08622,0.255,0.52593,1.28266,1.53672,0.61528,1.21933,NaN,NaN,1.8318675
2019-01-01 02:00:00,1.5299,0.61122,2.00279,0.75902,0.70998,NaN,4.12407,NaN,2.92969,2.4787,1.4825,NaN,1.08368,2.01192,0.91433,0.74135,3.59734,5.43279,1.17838,2.13661,0.42499,0.26296,1.11164,0.81356,0.43949,1.39352,NaN,NaN,1.65958391304348
2019-01-01 03:00:00,1.47106,0.72036,1.62727,0.97588,0.46593,1.03677,3.57419,NaN,2.58502,1.78156,0.69492,NaN,1.15141,1.94007,1.06672,0.94353,4.04701,4.77823,1.01004,1.95856,0.31874,0.46019,1.21853,1.22034,0.39554,1.50239,NaN,NaN,1.53934416666667
2019-01-01 04:00:00,0.94147,0.5239,1.81503,1.0572,0.59905,0.69119,4.26154,NaN,2.39114,1.47173,1.25086,NaN,0.94822,1.33649,1.06672,0.74135,1.79867,4.25459,1.1363,2.01791,0.255,0.39444,1.02613,1.28813,0.32962,0.84918,NaN,NaN,1.35191083333333
2019-01-01 05:00:00,0.94147,0.5239,1.62727,1.13853,0.53249,1.03677,2.61191,NaN,2.26189,1.62664,1.18137,NaN,0.88049,1.55205,0.99052,0.87614,3.27615,4.05823,0.94691,1.60246,0.255,0.52593,0.83373,1.15254,0.26369,1.17578,NaN,NaN,1.32799416666667
2019-01-01 06:00:00,1.118,0.78585,1.31433,0.81323,0.46593,1.24413,3.36799,NaN,2.39114,2.16886,0.9034,NaN,0.88049,3.10411,1.2953,0.94353,2.82648,3.86186,0.75753,2.19596,0.19125,0.78889,0.962,1.15254,0.59331,1.69835,NaN,NaN,1.49268583333333
2019-01-01 07:00:00,0.58842,0.98231,1.31433,0.97588,0.46593,1.24413,3.29925,NaN,2.26189,2.01394,1.18137,NaN,0.94822,3.62146,1.44769,0.87614,4.23972,3.86186,1.19942,0.89026,0.06375,1.05185,0.7696,1.55932,0.46146,1.50239,NaN,NaN,1.53419125
2019-01-01 08:00:00,0.70611,0.78585,1.0014,0.89456,0.39936,1.17501,3.29925,NaN,1.61564,2.32378,1.25086,NaN,1.28687,3.36278,1.2953,0.47177,3.21191,3.20731,1.19942,1.95856,0.38249,1.4463,0.7696,1.42373,0.46146,1.30642,NaN,NaN,1.46815583333333
2019-01-01 09:00:00,0.52958,0.65488,0.68846,0.97588,0.53249,0.89854,3.57419,NaN,1.68026,2.40124,1.04238,NaN,1.08368,3.92324,0.76194,0.40437,3.79006,2.74912,1.1363,2.01791,0.255,1.31482,0.7696,1.22034,0.72515,0.65321,NaN,NaN,1.40761
