Date & Time,Princess Way Seaforth,Waterloo Primary School Crosby Road North Waterloo,Millers Bridge Bootle,Crosby Road South Seaforth
01-Jan-2015 01:00:00,18.1,5.5,3.7,NaN
01-Jan-2015 02:00:00,15,5.1,3.2,NaN
01-Jan-2015 03:00:00,11.9,4.8,3.1,NaN
01-Jan-2015 04:00:00,8.5,5.4,3.3,NaN
01-Jan-2015 05:00:00,8.7,6.5,2.3,NaN
01-Jan-2015 06:00:00,11.1,4.7,4.2,NaN
01-Jan-2015 07:00:00,5.4,2.3,2.4,NaN
01-Jan-2015 08:00:00,3.8,1.7,2.3,NaN
01-Jan-2015 09:00:00,4.9,2.4,2,NaN
01-Jan-2015 10:00:00,6.1,3.6,4.1,NaN
01-Jan-2015 11:00:00,10.5,4.5,3.6,NaN
01-Jan-2015 12:00:00,13.7,5.7,4.3,NaN
01-Jan-2015 13:00:00,15.9,7.5,8.3,NaN
01-Jan-2015 14:00:00,20,9.8,11.4,NaN
01-Jan-2015 15:00:00,12.9,7.3,7.1,NaN
01-Jan-2015 16:00:00,12.4,5,3.2,NaN
01-Jan-2015 17:00:00,17,9.1,4.3,NaN
01-Jan-2015 18:00:00,9.7,6.2,4.4,NaN
01-Jan-2015 19:00:00,5.1,3.8,2.6,NaN
01-Jan-2015 20:00:00,4.5,3.7,3.5,NaN
01-Jan-2015 21:00:00,3.8,4.2,2.6,NaN
01-Jan-2015 22:00:00,2.1,2.6,3.3,NaN
01-Jan-2015 23:00:00,1.1,1,6.2,NaN
02-Jan-2015 00:00:00,1,0.8,7.6,NaN
02-Jan-2015 01:00:00,0.6,NaN,1.7,NaN
02-Jan-2015 02:00:00,0.5,NaN,1.7,NaN
02-Jan-2015 03:00:00,1,NaN,1.8,NaN
02-Jan-2015 04:00:00,0.8,NaN,1.6,NaN
02-Jan-2015 05:00:00,1.6,NaN,3.8,NaN
02-Jan-2015 06:00:00,3.6,NaN,7.6,NaN
02-Jan-2015 07:00:00,9.7,6.1,10.5,NaN
02-Jan-2015 08:00:00,11,9.8,18.1,NaN
02-Jan-2015 09:00:00,9.4,11.1,17,NaN
02-Jan-2015 10:00:00,10.4,14.3,19.9,NaN
02-Jan-2015 11:00:00,9.6,17.5,17,NaN
02-Jan-2015 12:00:00,12,19.2,20.6,NaN
02-Jan-2015 13:00:00,13.4,20,21.7,NaN
02-Jan-2015 14:00:00,11.6,19.1,21.5,NaN
02-Jan-2015 15:00:00,19.2,17.3,33,NaN
02-Jan-2015 16:00:00,38.8,29.1,41.6,NaN
02-Jan-2015 17:00:00,68.5,19.4,29.7,NaN
02-Jan-2015 18:00:00,23.5,19.6,24.6,NaN
02-Jan-2015 19:00:00,36.6,11.7,16.6,NaN
