Date & Time,Princess Way Seaforth,Waterloo Primary School Crosby Road North Waterloo,Millers Bridge Bootle,Crosby Road South Seaforth
01-Jan-2015 01:00:00,38.8,17.8,13.3,NaN
01-Jan-2015 02:00:00,28.5,19.3,13.1,NaN
01-Jan-2015 03:00:00,27.2,21.9,13.4,NaN
01-Jan-2015 04:00:00,37.8,25.6,16.4,NaN
01-Jan-2015 05:00:00,38,30,20.4,NaN
01-Jan-2015 06:00:00,33.9,25.1,15.8,NaN
01-Jan-2015 07:00:00,14.5,7.1,10.4,NaN
01-Jan-2015 08:00:00,10.8,2.9,8.1,NaN
01-Jan-2015 09:00:00,10.3,7.3,7.8,NaN
01-Jan-2015 10:00:00,16.8,11.9,10.9,NaN
01-Jan-2015 11:00:00,14.5,10.6,9.8,NaN
01-Jan-2015 12:00:00,21,13.9,10.2,NaN
01-Jan-2015 13:00:00,28.8,20.5,20.9,NaN
01-Jan-2015 14:00:00,26.4,22.8,28.6,NaN
01-Jan-2015 15:00:00,17.8,15,19.4,NaN
01-Jan-2015 16:00:00,17.5,6.9,5.2,NaN
01-Jan-2015 17:00:00,23.3,12,7.7,NaN
01-Jan-2015 18:00:00,12.9,5.7,8.6,NaN
01-Jan-2015 19:00:00,7.9,3.6,5.1,NaN
01-Jan-2015 20:00:00,7.8,3.5,5.7,NaN
01-Jan-2015 21:00:00,7.7,4.6,4.5,NaN
01-Jan-2015 22:00:00,7.9,2,6.1,NaN
01-Jan-2015 23:00:00,5,1.2,11.4,NaN
02-Jan-2015 00:00:00,6,1.1,16.2,NaN
02-Jan-2015 01:00:00,3.6,NaN,3.5,NaN
02-Jan-2015 02:00:00,3.3,NaN,4,NaN
02-Jan-2015 03:00:00,4,NaN,4.5,NaN
02-Jan-2015 04:00:00,3.7,NaN,3.1,NaN
02-Jan-2015 05:00:00,4.8,NaN,6.8,NaN
02-Jan-2015 06:00:00,9.7,NaN,10.7,NaN
02-Jan-2015 07:00:00,17.2,4.1,13.1,NaN
02-Jan-2015 08:00:00,16.9,6.9,18.4,NaN
02-Jan-2015 09:00:00,15.5,7.9,17.8,NaN
02-Jan-2015 10:00:00,15.4,11,22.2,NaN
02-Jan-2015 11:00:00,15.4,13.9,18.1,NaN
02-Jan-2015 12:00:00,19.2,16.3,21.5,NaN
02-Jan-2015 13:00:00,24.2,16.8,25.8,NaN
02-Jan-2015 14:00:00,24.1,17.4,25.1,NaN
02-Jan-2015 15:00:00,31.6,19.1,39.1,NaN
02-Jan-2015 16:00:00,48.7,16.4,50.2,NaN
02-Jan-2015 17:00:00,58.7,23.6,41.4,NaN
02-Jan-2015 18:00:00,38,16.7,38.2,NaN
02-Jan-2015 19:00:00,53,14.6,31.9,NaN
02-Jan-2015 20:00:00,40.9,12.1,24.9,NaN
02-Jan-2015 21:00:00,29.7,8.2,25.8,NaN
02-Jan-2015 22:00:00,26.1,10.7,24.2,NaN
02-Jan-2015 23:00:00,30.4,12.9,13.8,NaN
03-Jan-2015 00:00:00,21.1,17.8,15.8,NaN
03-Jan-2015 01:00:00,34.4,7.5,10.2,NaN
03-Jan-2015 02:00:00,42.3,4.2,13.5,NaN
03-Jan-2015 03:00:00,30.9,4.2,13.1,NaN
03-Jan-2015 04:00:00,21.8,2.7,12.9,NaN
03-Jan-2015 05:00:00,47.4,6.7,24,NaN
03-Jan-2015 06:00:00,53.8,20.4,30.7,NaN
03-Jan-2015 07:00:00,76.8,54.4,33.9,NaN
03-Jan-2015 08:00:00,60,43.8,45,NaN
03-Jan-2015 09:00:00,62.9,45.1,46.4,NaN
03-Jan-2015 10:00:00,71.5,63.9,53.5,NaN
03-Jan-2015 11:00:00,54.8,75.9,51,NaN
03-Jan-2015 12:00:00,63.9,69.4,44.4,NaN
