Date & Time,Princess Way Seaforth,Waterloo Primary School Crosby Road North Waterloo,Millers Bridge Bootle,Crosby Road South Seaforth
01-Jan-2015 01:00:00,38.5,14.8,10.7,NaN
01-Jan-2015 02:00:00,29.9,15.2,10,NaN
01-Jan-2015 03:00:00,26.1,16.3,10.2,NaN
01-Jan-2015 04:00:00,28.3,18.8,11.9,NaN
01-Jan-2015 05:00:00,28.6,22.2,13,NaN
01-Jan-2015 06:00:00,28.9,17.8,12.5,NaN
01-Jan-2015 07:00:00,13,6,7.9,NaN
01-Jan-2015 08:00:00,9.4,3.2,6.6,NaN
01-Jan-2015 09:00:00,10.3,6.2,6.1,NaN
01-Jan-2015 10:00:00,14.9,9.8,9.9,NaN
01-Jan-2015 11:00:00,18.1,10.1,8.7,NaN
01-Jan-2015 12:00:00,24.6,13,9.6,NaN
01-Jan-2015 13:00:00,31,18.2,19.2,NaN
01-Jan-2015 14:00:00,33.8,21.7,26.4,NaN
01-Jan-2015 15:00:00,22.2,15.2,17.3,NaN
01-Jan-2015 16:00:00,21.6,8.6,5.9,NaN
01-Jan-2015 17:00:00,29.1,15.4,8.3,NaN
01-Jan-2015 18:00:00,16.4,9.1,9,NaN
01-Jan-2015 19:00:00,9.3,5.7,5.3,NaN
01-Jan-2015 20:00:00,8.6,5.6,6.5,NaN
01-Jan-2015 21:00:00,7.8,6.6,4.9,NaN
01-Jan-2015 22:00:00,6.2,3.7,6.5,NaN
01-Jan-2015 23:00:00,3.7,1.5,12.2,NaN
02-Jan-2015 00:00:00,4.1,1.3,16.1,NaN
02-Jan-2015 01:00:00,2.5,NaN,3.6,NaN
02-Jan-2015 02:00:00,2.3,NaN,3.8,NaN
02-Jan-2015 03:00:00,3.1,NaN,4.2,NaN
02-Jan-2015 04:00:00,2.8,NaN,3.2,NaN
02-Jan-2015 05:00:00,4.1,NaN,7.4,NaN
02-Jan-2015 06:00:00,8.6,NaN,13.2,NaN
02-Jan-2015 07:00:00,18.7,8.2,17.4,NaN
02-Jan-2015 08:00:00,19.9,13.4,27.7,NaN
02-Jan-2015 09:00:00,17.5,15.2,26.3,NaN
02-Jan-2015 10:00:00,18.5,20.1,31.5,NaN
02-Jan-2015 11:00:00,17.6,24.8,26.5,NaN
02-Jan-2015 12:00:00,22.1,27.7,31.8,NaN
02-Jan-2015 13:00:00,26.1,28.8,35.2,NaN
02-Jan-2015 14:00:00,24.2,28.2,34.7,NaN
02-Jan-2015 15:00:00,35.8,27.3,53.4,NaN
02-Jan-2015 16:00:00,64.2,37.7,67.8,NaN
02-Jan-2015 17:00:00,99.2,31.7,51.3,NaN
02-Jan-2015 18:00:00,43.4,28.4,44.6,NaN
02-Jan-2015 19:00:00,64.4,19.3,33.3,NaN
02-Jan-2015 20:00:00,45.9,14.1,21,NaN
02-Jan-2015 21:00:00,33.2,10.3,25.2,NaN
02-Jan-2015 22:00:00,25.5,11.3,22.1,NaN
02-Jan-2015 23:00:00,38.3,15.7,11.5,NaN
03-Jan-2015 00:00:00,29.6,14.4,12.3,NaN
03-Jan-2015 01:00:00,38.1,6.9,7.1,NaN
03-Jan-2015 02:00:00,44.4,5.1,9.4,NaN
03-Jan-2015 03:00:00,23.5,4.3,9.7,NaN
03-Jan-2015 04:00:00,18.4,3.6,9,NaN
03-Jan-2015 05:00:00,83.9,6.3,19.7,NaN
03-Jan-2015 06:00:00,80.8,17,24.1,NaN
03-Jan-2015 07:00:00,93.3,42.9,26.8,NaN
03-Jan-2015 08:00:00,77.8,40.5,47.6,NaN
03-Jan-2015 09:00:00,87.7,40.6,54.1,NaN
03-Jan-2015 10:00:00,94.3,79.1,56,NaN
03-Jan-2015 11:00:00,46.3,107.6,44.6,NaN
03-Jan-2015 12:00:00,74.1,95.9,36,NaN
03-Jan-2015 13:00:00,53.7,123.2,65.4,NaN
03-Jan-2015 14:00:00,40.7,108.9,77.1,NaN
03-Jan-2015 15:00:00,60.6,100.1,73.1,NaN
03-Jan-2015 16:00:00,76.2,116.4,81.1,NaN
03-Jan-2015 17:00:00,22.4,83.4,46.5,NaN
03-Jan-2015 18:00:00,26.6,62.3,41.3,NaN
03-Jan-2015 19:00:00,32.6,59.1,24.7,NaN
03-Jan-2015 20:00:00,59.3,79.5,18.5,NaN
03-Jan-2015 21:00:00,82.4,115.9,56.1,NaN
03-Jan-2015 22:00:00,130.2,140.9,60.9,NaN
03-Jan-2015 23:00:00,208.7,208.3,67.3,NaN
04-Jan-2015 00:00:00,206.1,154.9,98.4,NaN
04-Jan-2015 01:00:00,160.4,127.6,118.6,NaN
04-Jan-2015 02:00:00,194.9,147.9,99.4,NaN
04-Jan-2015 03:00:00,144.7,128.1,76.4,NaN
04-Jan-2015 04:00:00,101.1,85.5,49.3,NaN
04-Jan-2015 05:00:00,102.5,57.6,48.7,NaN
04-Jan-2015 06:00:00,159.2,54.6,72.3,NaN
04-Jan-2015 07:00:00,96.4,67.7,71.8,NaN
04-Jan-2015 08:00:00,80.4,59.1,80.6,NaN
04-Jan-2015 09:00:00,80.6,57.9,55.7,NaN
04-Jan-2015 10:00:00,78.6,67.1,46.7,NaN
