Date & Time,Princess Way Seaforth,Waterloo Primary School Crosby Road North Waterloo,Millers Bridge Bootle,Crosby Road South Seaforth
01-Jan-2015 01:00:00,19,NaN,21.1,NaN
01-Jan-2015 02:00:00,16.5,NaN,14.7,NaN
01-Jan-2015 03:00:00,14.7,NaN,14.3,NaN
01-Jan-2015 04:00:00,12.2,NaN,14.3,NaN
01-Jan-2015 05:00:00,7.2,NaN,12,NaN
01-Jan-2015 06:00:00,10.5,NaN,10.3,NaN
01-Jan-2015 07:00:00,14.9,NaN,9.1,NaN
01-Jan-2015 08:00:00,13.6,NaN,9.5,NaN
01-Jan-2015 09:00:00,13.4,NaN,12.2,NaN
01-Jan-2015 10:00:00,16.9,NaN,17.4,NaN
01-Jan-2015 11:00:00,18.2,NaN,18.4,NaN
01-Jan-2015 12:00:00,16.5,NaN,14.1,NaN
01-Jan-2015 13:00:00,12.6,NaN,15.3,NaN
01-Jan-2015 14:00:00,15.7,NaN,19.6,NaN
01-Jan-2015 15:00:00,21.5,NaN,18.8,NaN
01-Jan-2015 16:00:00,9.1,NaN,10.3,NaN
01-Jan-2015 17:00:00,8.9,NaN,8.9,NaN
01-Jan-2015 18:00:00,9.9,NaN,8.7,NaN
01-Jan-2015 19:00:00,15.1,NaN,9.7,NaN
01-Jan-2015 20:00:00,15.3,NaN,8.9,NaN
01-Jan-2015 21:00:00,16.1,NaN,9.3,NaN
01-Jan-2015 22:00:00,24.6,NaN,13.2,NaN
01-Jan-2015 23:00:00,33.1,NaN,17.8,NaN
02-Jan-2015 00:00:00,37.8,NaN,26.9,NaN
02-Jan-2015 01:00:00,36,NaN,32.4,NaN
02-Jan-2015 02:00:00,32.9,NaN,24,NaN
02-Jan-2015 03:00:00,34.5,NaN,26.7,NaN
02-Jan-2015 04:00:00,35.7,NaN,30.2,NaN
02-Jan-2015 05:00:00,40.5,NaN,37,NaN
02-Jan-2015 06:00:00,37,NaN,31,NaN
02-Jan-2015 07:00:00,33.9,NaN,30,NaN
02-Jan-2015 08:00:00,33.1,NaN,31.8,NaN
02-Jan-2015 09:00:00,31.8,NaN,34.9,NaN
02-Jan-2015 10:00:00,35.5,NaN,34.7,NaN
02-Jan-2015 11:00:00,36.8,NaN,38.8,NaN
02-Jan-2015 12:00:00,38.8,NaN,36.2,NaN
02-Jan-2015 13:00:00,33.5,NaN,36,NaN
02-Jan-2015 14:00:00,31.8,NaN,37.2,NaN
02-Jan-2015 15:00:00,31.6,NaN,39.5,NaN
02-Jan-2015 16:00:00,34.7,NaN,43.6,NaN
02-Jan-2015 17:00:00,36.8,NaN,36.2,NaN
02-Jan-2015 18:00:00,41.3,NaN,38.4,NaN
02-Jan-2015 19:00:00,40.5,NaN,37.8,NaN
02-Jan-2015 20:00:00,50,NaN,30.2,NaN
02-Jan-2015 21:00:00,38.4,NaN,24.4,NaN
02-Jan-2015 22:00:00,31.6,NaN,25.8,NaN
02-Jan-2015 23:00:00,37.6,NaN,26.5,NaN
03-Jan-2015 00:00:00,36,NaN,25.2,NaN
03-Jan-2015 01:00:00,28.1,NaN,26,NaN
03-Jan-2015 02:00:00,30.6,NaN,24.6,NaN
03-Jan-2015 03:00:00,28.3,NaN,23.8,NaN
03-Jan-2015 04:00:00,19,NaN,20.9,NaN
03-Jan-2015 05:00:00,11.4,NaN,13.4,NaN
03-Jan-2015 06:00:00,10.1,NaN,10.3,NaN
03-Jan-2015 07:00:00,10.3,NaN,7.6,NaN
03-Jan-2015 08:00:00,16.1,NaN,11,NaN
03-Jan-2015 09:00:00,15.9,NaN,13.2,NaN
03-Jan-2015 10:00:00,18.6,NaN,17.4,NaN
03-Jan-2015 11:00:00,15.7,NaN,15.3,NaN
03-Jan-2015 12:00:00,13.4,NaN,16.9,NaN
03-Jan-2015 13:00:00,19.8,NaN,19.8,NaN
03-Jan-2015 14:00:00,14.3,NaN,24,NaN
03-Jan-2015 15:00:00,14.1,NaN,20.9,NaN
03-Jan-2015 16:00:00,17.8,NaN,18.8,NaN
03-Jan-2015 17:00:00,12.4,NaN,16.1,NaN
03-Jan-2015 18:00:00,9.1,NaN,12.4,NaN
03-Jan-2015 19:00:00,15.7,NaN,19.8,NaN
03-Jan-2015 20:00:00,20.9,NaN,19,NaN
03-Jan-2015 21:00:00,23.8,NaN,20.3,NaN
03-Jan-2015 22:00:00,31.6,NaN,29.3,NaN
03-Jan-2015 23:00:00,39.9,NaN,24.4,NaN
04-Jan-2015 00:00:00,51.2,NaN,29.1,NaN
04-Jan-2015 01:00:00,41.1,NaN,32.9,NaN
04-Jan-2015 02:00:00,47.5,NaN,33.7,NaN
04-Jan-2015 03:00:00,44.6,NaN,31.2,NaN
04-Jan-2015 04:00:00,38,NaN,30.4,NaN
04-Jan-2015 05:00:00,33.1,NaN,22.7,NaN
04-Jan-2015 06:00:00,NaN,NaN,24.8,NaN
04-Jan-2015 07:00:00,NaN,NaN,27.3,NaN
